FIPS,credit_score,par_state,par_county,county_name,kid_race
01001,656.9472003,1,1,Autauga,Pooled
01003,667.0658708266309,1,3,Baldwin,Pooled
01005,650.6615623214626,1,5,Barbour,Pooled
01007,640.0174827950634,1,7,Bibb,Pooled
01009,661.9090952472993,1,9,Blount,Pooled
01011,623.5044238631472,1,11,Bullock,Pooled
01013,642.1184933151751,1,13,Butler,Pooled
01015,653.5768570128591,1,15,Calhoun,Pooled
01017,636.8396781535404,1,17,Chambers,Pooled
01019,651.1540364018934,1,19,Cherokee,Pooled
01021,649.7219735157659,1,21,Chilton,Pooled
01023,640.0243325672157,1,23,Choctaw,Pooled
01025,648.7177708656384,1,25,Clarke,Pooled
01027,654.1339232700585,1,27,Clay,Pooled
01029,659.1814566,1,29,Cleburne,Pooled
01031,668.3255693780973,1,31,Coffee,Pooled
01033,655.5496602270356,1,33,Colbert,Pooled
01035,635.4062350086024,1,35,Conecuh,Pooled
01037,633.9506599423395,1,37,Coosa,Pooled
01039,661.9862505843852,1,39,Covington,Pooled
01041,650.6896306818182,1,41,Crenshaw,Pooled
01043,664.8205941950528,1,43,Cullman,Pooled
01045,660.6947749,1,45,Dale,Pooled
01047,639.3100389277165,1,47,Dallas,Pooled
01049,665.0675355892374,1,49,DeKalb,Pooled
01051,656.7455985254924,1,51,Elmore,Pooled
01053,646.3175931162148,1,53,Escambia,Pooled
01055,653.3053527003782,1,55,Etowah,Pooled
01057,661.1993665,1,57,Fayette,Pooled
01059,661.9220575168233,1,59,Franklin,Pooled
01061,659.2085695214346,1,61,Geneva,Pooled
01063,626.9997245223478,1,63,Greene,Pooled
01065,638.2480996302548,1,65,Hale,Pooled
01067,650.5813301,1,67,Henry,Pooled
01069,656.8524566865497,1,69,Houston,Pooled
01071,661.6631396151176,1,71,Jackson,Pooled
01073,648.4081737756565,1,73,Jefferson,Pooled
01075,666.1606936328716,1,75,Lamar,Pooled
01077,665.5272022,1,77,Lauderdale,Pooled
01079,650.9851065851279,1,79,Lawrence,Pooled
01081,659.2389972453383,1,81,Lee,Pooled
01083,655.5016064838281,1,83,Limestone,Pooled
01085,626.2832535460993,1,85,Lowndes,Pooled
01087,625.0376825146782,1,87,Macon,Pooled
01089,662.7055390691316,1,89,Madison,Pooled
01091,646.8472044122291,1,91,Marengo,Pooled
01093,663.5837614201255,1,93,Marion,Pooled
01095,661.6200586573549,1,95,Marshall,Pooled
01097,649.0803474434134,1,97,Mobile,Pooled
01099,647.4090559440559,1,99,Monroe,Pooled
01101,647.3052124493305,1,101,Montgomery,Pooled
01103,657.4358926624702,1,103,Morgan,Pooled
01105,636.2238829248254,1,105,Perry,Pooled
