County FIPS,County Name,State Name,"Share with any debt in collections, All","Share with any debt in collections, Comm of color","Share with any debt in collections, White comm","Median debt in collections, All","Median debt in collections, Comm of color","Median debt in collections, White comm","Share with medical debt in collections, All","Share with medical debt in collections, Comm of color","Share with medical debt in collections, White comm","Share of student loan holders with student loan debt in default, All","Share of student loan holders with student loan debt in default, Comm of color","Share of student loan holders with student loan debt in default, White comm","Auto/retail loan delinquency rate, All","Auto/retail loan delinquency rate, Comm of color","Auto/retail loan delinquency rate, White comm","Credit card debt delinquency rate, All","Credit card debt delinquency rate, Comm of color","Credit card debt delinquency rate, White comm","Median credit card delinquent debt, All","Median credit card delinquent debt, Comm of color","Median credit card delinquent debt, White comm",Share of people of color,"Average household income, All","Average household income, Comm of color","Average household income, White comm"
01001,"Autauga County, Alabama",Alabama,.2609164,.4285714,.2540662,1642.5,NA,1644,.0339623,.0285714,.034212,.0142349,NA,.0150376,.0779376,NA,.0778894,.0524017,NA,.0504505,565,NA,532,.2744337,90372.48,75995.17,95154.61
01003,"Baldwin County, Alabama",Alabama,.1992218,NA,.1995548,2072,NA,2116.5,.0383917,NA,.0382349,.0153257,NA,.0153698,.046729,NA,.046919,.0478505,NA,.0480679,472,NA,473,.178473,93000.48,65227.07,98031.24
01005,"Barbour County, Alabama",Alabama,.3244326,.332853,.2181818,1727,1727,NA,.0440587,.0432277,.0545455,.0394737,.0285714,NA,.0934256,.1018868,NA,.0894737,.0924855,NA,NA,NA,NA,.5544479,60127.51,37654.05,84535.28
01007,"Bibb County, Alabama",Alabama,.330033,.4111111,.3158915,2303.5,NA,2148,.0709571,.0666667,.0717054,.0140845,NA,.0172414,.1189591,NA,.127193,.1019108,NA,.1025641,NA,NA,NA,.2575614,65131.1,44427.95,71024.7
01009,"Blount County, Alabama",Alabama,.2526791,NA,.2528217,1756,NA,1756,.0552735,NA,.0553047,.010929,NA,.010929,.0431267,NA,.0431849,.057,NA,.057,622,NA,622,.1432537,75953.74,65861.56,77165.35
01011,"Bullock County, Alabama",Alabama,.4395161,.4412955,NA,2226,2226,NA,.0403226,.0404858,NA,NA,NA,NA,.1711712,.1727273,NA,.1,.1008403,NA,NA,NA,NA,.7942486,52268.87,39627.61,93271.34
01013,"Butler County, Alabama",Alabama,.373817,.3716216,.3789474,1744,2056,981.5,.0709779,.0788288,.0526316,.0277778,.0344828,NA,.1343284,.1164021,.1772152,.1046931,.11,.0909091,NA,NA,NA,.4913334,65987.99,49953.47,79776.68
01015,"Calhoun County, Alabama",Alabama,.3460452,.4895105,.3183962,2180,2115.5,2202,.1076271,.1888112,.0919811,.0311005,.0634921,.0253521,.0721944,.1346154,.061293,.0678325,.1066667,.0625752,493,NA,526,.295372,68554.48,53580.19,74382.7
01017,"Chambers County, Alabama",Alabama,.3468697,.3572711,.3376,1617,1572,1735,.0406091,.0412926,.04,.006993,0,.0135135,.092437,.0896226,.094697,.0996732,.1034483,.0968661,504,NA,NA,.4570091,64377.17,55226.86,70726.6
01019,"Cherokee County, Alabama",Alabama,.32,NA,.32,2211,NA,2211,.08625,NA,.08625,.0441176,NA,.0441176,.0628931,NA,.0628931,.0816832,NA,.0816832,NA,NA,NA,.0925446,65664.31,52833.59,66768.27
